Facility ID,Hospital Name,Detailed Region,Region,Procedure,Year of Hospital Discharge,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate,Risk-Adjusted Mortality Rate,Lower Limit of Confidence Interval,Upper Limit of Confidence Interval,Comparison Results
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,All PCI,2011,514,10,1.95,1.39,1.35,0.65,2.49,Rate not different than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2016,632,5,0.79,1.07,0.62,0.2,1.44,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,All PCI,2011,986,11,1.12,1.06,1.02,0.51,1.82,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2016,237,2,0.84,1.28,0.55,0.06,2,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2016,447,3,0.67,0.75,0.74,0.15,2.17,Rate not different than Statewide Rate
0001,Albany Med. Ctr,Capital District,Capital District,CABG,2016,224,6,2.68,1.86,2.4,0.88,5.23,Rate not different than Statewide Rate
1302,Univ. Brooklyn @ LICH,Kings,NY Metro - NYC,All PCI,2011,195,2,1.03,1.69,0.59,0.07,2.12,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,All PCI,2011,433,6,1.39,0.95,1.42,0.52,3.08,Rate not different than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,CABG,2016,53,0,0,1.62,0,0,7.13,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,CABG,2015,110,1,0.91,1.91,0.74,0.01,4.12,Rate not different than Statewide Rate
0746,Bassett Medical Center,Capital District,Capital District,CABG,2016,85,2,2.35,2.61,1.5,0.17,5.43,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2011,727,10,1.38,1.21,1.1,0.53,2.02,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2011,241,4,1.66,1.06,1.52,0.41,3.9,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,CABG,2016,144,5,3.47,1.27,4.57,1.47,10.67,Rate not different than Statewide Rate
0207,Buffalo General Med Ctr,Western NY - Buffalo,Western NY - Buffalo,CABG,2016,414,7,1.69,1.66,1.7,0.68,3.5,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,Valve or Valve/CABG,2013-2015,180,2,1.11,3.68,0.92,0.1,3.3,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2011,365,5,1.37,0.87,1.03,0.33,2.4,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2011,1423,9,0.63,0.54,0.76,0.35,1.45,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,Non-Emergency PCI,2011,5,0,0,0.34,0,0,140.57,Rate not different than Statewide Rate
1286,Brookdale Hosp Med Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2011,156,2,1.28,1.14,0.74,0.08,2.66,Rate not different than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,CABG,2016,200,4,2,1.53,2.18,0.59,5.57,Rate not different than Statewide Rate
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2016,100,3,3,1.53,3.28,0.66,9.58,Rate not different than Statewide Rate
0925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,CABG,2016,211,5,2.37,2.17,1.82,0.59,4.26,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,CABG,2016,306,0,0,1.48,0,0,1.35,Rate significantly lower than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,CABG,2016,222,6,2.7,1.88,2.4,0.88,5.22,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2011,308,1,0.32,0.5,0.43,0.01,2.37,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2015,419,4,0.95,1.27,0.86,0.23,2.19,Rate not different than Statewide Rate
0213,Mercy Hospital-Buffalo,Western NY - Buffalo,Western NY - Buffalo,CABG,2016,346,10,2.89,1.47,3.28,1.57,6.04,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,Non-Emergency PCI,2011,167,0,0,0.37,0,0,3.92,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,CABG,2016,182,1,0.55,1.47,0.62,0.01,3.47,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,Valve or Valve/CABG,2013-2015,101,3,2.97,2.38,3.79,0.76,11.07,Rate not different than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,Non-Emergency PCI,2015,129,1,0.78,0.6,0.96,0.01,5.35,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2011,66,2,3.03,0.41,4.81,0.54,17.38,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2011,1704,6,0.35,0.49,0.47,0.17,1.01,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Non-Emergency PCI,2011,1635,10,0.61,0.6,0.67,0.32,1.23,Rate not different than Statewide Rate
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2011,260,2,0.77,0.67,0.75,0.08,2.7,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,CABG,2016,201,7,3.48,1.63,3.57,1.43,7.35,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2011,895,3,0.34,1.04,0.21,0.04,0.62,Rate significantly lower than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,Non-Emergency PCI,2015,108,0,0,0.43,0,0,5.9,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,CABG,2016,183,0,0,1.14,0,0,2.92,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Non-Emergency PCI,2011,503,1,0.2,0.55,0.23,0,1.31,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Non-Emergency PCI,2011,404,6,1.49,0.75,1.3,0.47,2.82,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2011,4581,24,0.52,0.63,0.55,0.35,0.81,Rate not different than Statewide Rate
1637,NY Hospital - Queens,Queens,NY Metro - NYC,Non-Emergency PCI,2011,552,4,0.72,0.61,0.78,0.21,2,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,Non-Emergency PCI,2011,1426,8,0.56,0.54,0.68,0.29,1.33,Rate not different than Statewide Rate
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,Non-Emergency PCI,2011,2865,12,0.42,0.66,0.41,0.21,0.72,Rate not different than Statewide Rate
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,Non-Emergency PCI,2011,1214,15,1.24,0.99,0.82,0.46,1.34,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Non-Emergency PCI,2011,1064,4,0.38,0.52,0.47,0.13,1.21,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,CABG,2016,347,4,1.15,1.4,1.37,0.37,3.51,Rate not different than Statewide Rate
1469,Mount Sinai St. Lukes,Manhattan,NY Metro - NYC,CABG,2016,130,3,2.31,1.61,2.39,0.48,6.99,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,Non-Emergency PCI,2015,623,4,0.64,0.41,1.17,0.32,3,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,CABG,2016,138,1,0.72,1.67,0.72,0.01,4.03,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,CABG,2015,210,1,0.48,1.26,0.59,0.01,3.28,Rate not different than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,Non-Emergency PCI,2011,38,1,2.63,0.58,2.96,0.04,16.45,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,CABG,2016,467,4,0.86,1.68,0.85,0.23,2.18,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,CABG,2016,156,1,0.64,1.1,0.97,0.01,5.42,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,CABG,2016,182,2,1.1,1.62,1.13,0.13,4.09,Rate not different than Statewide Rate
1469,Mount Sinai St. Lukes,Manhattan,NY Metro - NYC,All PCI,2015,489,12,2.45,1.61,1.74,0.9,3.03,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,CABG,2016,246,5,2.03,1.28,2.65,0.85,6.19,Rate not different than Statewide Rate
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,Non-Emergency PCI,2011,434,4,0.92,0.7,0.86,0.23,2.2,Rate not different than Statewide Rate
636,Crouse Hospital,Central NY,Central NY,Non-Emergency PCI,2010,320,0,0,0.36,0,0,1.64,Rate not different than Statewide Rate
0511,NYU Winthrop Hospital,NY Metro - Long Island,NY Metro - Long Island,CABG,2016,216,2,0.93,1.86,0.83,0.09,3,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,CABG,2016,575,4,0.7,1.58,0.74,0.2,1.88,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,Non-Emergency PCI,2011,834,5,0.6,0.6,0.66,0.21,1.53,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,CABG,2016,452,10,2.21,1.99,1.85,0.89,3.4,Rate not different than Statewide Rate
0924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,CABG,2016,202,2,0.99,1.44,1.14,0.13,4.13,Rate not different than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,CABG,2016,229,8,3.49,2.02,2.88,1.24,5.67,Rate not different than Statewide Rate
1302,Univ. Brooklyn @ LICH,Kings,NY Metro - NYC,Non-Emergency PCI,2011,146,1,0.68,0.65,0.69,0.01,3.84,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,Non-Emergency PCI,2011,347,2,0.58,0.55,0.69,0.08,2.48,Rate not different than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,CABG,2016,530,4,0.75,1.5,0.84,0.23,2.15,Rate not different than Statewide Rate
0630,St. Josephs Hospital,Central NY,Central NY,CABG,2016,446,10,2.24,2.15,1.74,0.83,3.2,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,All PCI,2015,280,5,1.79,2.25,0.9,0.29,2.11,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2011,557,7,1.26,0.81,1.02,0.41,2.09,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2011,194,3,1.55,0.76,1.33,0.27,3.89,Rate not different than Statewide Rate
0005,St. Peters Hospital,Capital District,Capital District,CABG,2016,369,6,1.63,1.6,1.7,0.62,3.7,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,CABG,2015,36,6,16.67,2.06,12.6,4.6,27.43,Rate significantly higher than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,CABG,2016,163,3,1.84,1.37,2.25,0.45,6.57,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,CABG,2011,93,1,1.08,1.12,1.19,0.02,6.62,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,CABG,2011,164,1,0.61,0.79,0.95,0.01,5.3,Rate not different than Statewide Rate
0413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,CABG,2016,225,6,2.67,1.78,2.5,0.91,5.45,Rate not different than Statewide Rate
0058,UHS-Wilson Med Ctr,Central NY,Central NY,CABG,2016,112,4,3.57,2.41,2.47,0.67,6.33,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,TAVR,2013-2015,40,3,7.5,4.73,7.54,1.52,22.04,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,CABG,2016,57,0,0,1.38,0,0,7.77,Rate not different than Statewide Rate
0245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,CABG,2016,180,4,2.22,1.99,1.86,0.5,4.77,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,CABG,2011,133,2,1.5,1.3,1.44,0.16,5.18,Rate not different than Statewide Rate
0635,Univ. Hosp-Upstate,Central NY,Central NY,CABG,2016,36,0,0,1.26,0,0,13.48,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,CABG,2011,272,2,0.74,1.78,0.51,0.06,1.85,Rate not different than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2016,167,0,0,1.86,0,0,1.97,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2016,197,6,3.05,1.64,3.1,1.13,6.74,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,CABG,2011,178,2,1.12,1.26,1.1,0.12,3.98,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,CABG,2011,207,0,0,1.08,0,0,2.04,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,CABG,2011,304,6,1.97,0.89,2.74,1,5.97,Rate not different than Statewide Rate
1637,NY Hospital - Queens,Queens,NY Metro - NYC,CABG,2011,98,1,1.02,0.84,1.51,0.02,8.39,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,CABG,2011,91,1,1.1,1.19,1.15,0.02,6.39,Rate not different than Statewide Rate
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,CABG,2011,368,7,1.9,1.21,1.96,0.78,4.03,Rate not different than Statewide Rate
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,CABG,2011,183,2,1.09,0.97,1.39,0.16,5.03,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,CABG,2011,132,4,3.03,0.82,4.58,1.23,11.72,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,TAVR,2013-2015,151,7,4.64,4.16,5.29,2.12,10.9,Rate not different than Statewide Rate
0001,Albany Med. Ctr,Capital District,Capital District,Emergency PCI,2014-2016,516,18,3.49,2.49,4.34,2.57,6.86,Rate not different than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Emergency PCI,2014-2016,286,8,2.8,2.98,2.91,1.26,5.74,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2015,832,6,0.72,1.32,0.4,0.15,0.88,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,1330,25,1.88,1.86,3.07,1.99,4.53,Rate not different than Statewide Rate
0746,Bassett Medical Center,Capital District,Capital District,Emergency PCI,2014-2016,299,9,3.01,2.57,3.63,1.66,6.89,Rate not different than Statewide Rate
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,CABG,2011,102,2,1.96,1.76,1.38,0.16,5,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,3483,12,0.34,0.7,0.37,0.19,0.64,Rate significantly lower than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,CABG,2011,303,2,0.66,1.03,0.79,0.09,2.86,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Non-Emergency PCI,2015,442,0,0,0.91,0,0,0.68,Rate significantly lower than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,Valve or Valve/CABG,2013-2015,90,10,11.11,3.24,10.41,4.98,19.14,Rate significantly higher than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,CABG,2011,65,2,3.08,1.8,2.12,0.24,7.66,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2015,305,0,0,0.39,0,0,2.28,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Emergency PCI,2014-2016,321,17,5.3,3.72,4.42,2.57,7.08,Rate not different than Statewide Rate
1178,BronxCare Health System,Bronx,NY Metro - NYC,Emergency PCI,2014-2016,192,7,3.65,3.32,3.41,1.36,7.02,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2011,256,1,0.39,1.58,0.31,0,1.7,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,Emergency PCI,2014-2016,181,6,3.31,3.39,3.03,1.11,6.59,Rate not different than Statewide Rate
0207,Buffalo General Med Ctr,Western NY - Buffalo,Western NY - Buffalo,Emergency PCI,2014-2016,1274,41,3.22,2.49,4.01,2.88,5.45,Rate not different than Statewide Rate
0977,Cayuga Med Ctr Ithaca,Central NY,Central NY,Emergency PCI,2014-2016,226,5,2.21,3.12,2.2,0.71,5.13,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Emergency PCI,2009-2011,245,12,4.9,3.34,4.42,2.28,7.72,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,Emergency PCI,2009-2011,311,14,4.5,3.99,3.41,1.86,5.72,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,Emergency PCI,2009-2011,159,9,5.66,2.46,6.94,3.17,13.18,Rate significantly higher than Statewide Rate
1286,Brookdale Hosp Med Ctr,Kings,NY Metro - NYC,Emergency PCI,2009-2011,161,10,6.21,2.98,6.28,3.01,11.56,Rate not different than Statewide Rate
0636,Crouse Hospital,Central NY,Central NY,Emergency PCI,2014-2016,267,14,5.24,2.78,5.85,3.2,9.82,Rate significantly higher than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,Emergency PCI,2014-2016,544,13,2.39,2.44,3.04,1.62,5.2,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Emergency PCI,2014-2016,392,8,2.04,2.09,3.03,1.31,5.98,Rate not different than Statewide Rate
0599,Faxton - St. Lukes,Central NY,Central NY,Emergency PCI,2014-2016,76,6,7.89,5.12,4.78,1.75,10.41,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,Emergency PCI,2014-2016,240,2,0.83,2.65,0.97,0.11,3.52,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Emergency PCI,2009-2011,351,4,1.14,2.72,1.27,0.34,3.24,Rate not different than Statewide Rate
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,Emergency PCI,2014-2016,477,21,4.4,3.5,3.9,2.41,5.96,Rate not different than Statewide Rate
0925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2014-2016,258,10,3.88,2.64,4.56,2.18,8.39,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,Emergency PCI,2009-2011,179,3,1.68,2.13,2.38,0.48,6.95,Rate not different than Statewide Rate
0913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2014-2016,305,8,2.62,2.7,3.01,1.3,5.93,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,All PCI,2015,2360,17,0.72,0.9,0.91,0.53,1.45,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Concourse,Bronx,NY Metro - NYC,All PCI,2015,137,5,3.65,2.52,1.65,0.53,3.84,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,Emergency PCI,2009-2011,446,22,4.93,3.38,4.4,2.76,6.67,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Emergency PCI,2009-2011,309,11,3.56,3.44,3.12,1.56,5.58,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Emergency PCI,2009-2011,593,9,1.52,2.47,1.86,0.85,3.53,Rate not different than Statewide Rate
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,Emergency PCI,2009-2011,142,7,4.93,4.36,3.41,1.37,7.03,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2015,393,7,1.78,1.91,1.06,0.43,2.19,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Emergency PCI,2009-2011,589,17,2.89,3.89,2.24,1.3,3.58,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,Emergency PCI,2014-2016,473,7,1.48,2.2,2.09,0.84,4.3,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,All PCI,2015,3610,14,0.39,0.74,0.6,0.33,1,Rate significantly lower than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Emergency PCI,2009-2011,401,10,2.49,2.3,3.27,1.57,6.02,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Emergency PCI,2009-2011,365,17,4.66,2.84,4.95,2.88,7.93,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Emergency PCI,2009-2011,293,10,3.41,4.38,2.35,1.13,4.33,Rate not different than Statewide Rate
1637,NY Hospital - Queens,Queens,NY Metro - NYC,Emergency PCI,2009-2011,396,11,2.78,3.33,2.52,1.26,4.51,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,Emergency PCI,2009-2011,194,12,6.19,4.38,4.26,2.2,7.45,Rate not different than Statewide Rate
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,Emergency PCI,2009-2011,448,17,3.79,5.38,2.13,1.24,3.41,Rate not different than Statewide Rate
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,Emergency PCI,2009-2011,433,12,2.77,4.64,1.8,0.93,3.15,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Emergency PCI,2009-2011,166,7,4.22,3.72,3.42,1.37,7.04,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Emergency PCI,2014-2016,316,12,3.8,3.71,3.18,1.64,5.55,Rate not different than Statewide Rate
0885,Long Island Comm. Hosp.,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2014-2016,243,6,2.47,2.71,2.83,1.03,6.15,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Emergency PCI,2014-2016,483,8,1.66,2.8,1.83,0.79,3.61,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,229,13,5.68,3.06,5.63,3,9.63,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Emergency PCI,2014-2016,692,13,1.88,4.07,1.43,0.76,2.45,Rate significantly lower than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,Emergency PCI,2009-2011,13,0,0,1.68,0,0,50.77,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,All PCI,2015,1251,23,1.84,0.95,2.19,1.39,3.29,Rate significantly higher than Statewide Rate
0213,Mercy Hospital-Buffalo,Western NY - Buffalo,Western NY - Buffalo,Emergency PCI,2014-2016,803,32,3.99,2.65,4.67,3.19,6.59,Rate significantly higher than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,CABG,2015,398,5,1.26,1.69,1.16,0.37,2.7,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Emergency PCI,2014-2016,408,13,3.19,3.43,2.88,1.53,4.92,Rate not different than Statewide Rate
1122,NYP-Lawrence Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2015,113,0,0,0.95,0,0,3.9,Rate not different than Statewide Rate
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,Emergency PCI,2009-2011,255,14,5.49,4.88,3.4,1.86,5.7,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Emergency PCI,2014-2016,418,9,2.15,2.89,2.31,1.05,4.38,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,Emergency PCI,2009-2011,469,15,3.2,3.36,2.87,1.61,4.74,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,Emergency PCI,2014-2016,400,18,4.5,4.36,3.2,1.9,5.06,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Emergency PCI,2014-2016,381,14,3.67,4.01,2.84,1.55,4.77,Rate not different than Statewide Rate
1469,Mount Sinai St. Lukes,Manhattan,NY Metro - NYC,Emergency PCI,2014-2016,242,10,4.13,3.89,3.29,1.58,6.06,Rate not different than Statewide Rate
1302,Univ. Brooklyn @ LICH,Kings,NY Metro - NYC,Emergency PCI,2009-2011,135,6,4.44,3.49,3.84,1.4,8.37,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,Emergency PCI,2009-2011,237,9,3.8,3.44,3.33,1.52,6.32,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,Emergency PCI,2014-2016,377,25,6.63,4.18,4.92,3.18,7.26,Rate significantly higher than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,TAVR,2013-2015,128,8,6.25,4.91,6.05,2.6,11.92,Rate not different than Statewide Rate
1469,Mount Sinai St. Lukes,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,413,6,1.45,0.94,1.15,0.42,2.51,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Emergency PCI,2009-2011,523,15,2.87,2.92,2.96,1.66,4.88,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,Emergency PCI,2014-2016,421,20,4.75,6.14,2.4,1.47,3.71,Rate not different than Statewide Rate
